Area;MTU;Hydro - Actual Aggregated [MW];Nuclear  - Actual Aggregated [MW];Other renewable  - Actual Aggregated [MW];Solar  - Actual Aggregated [MW];Wind - Actual Aggregated [MW]
BZN|ES;11.03.2021 01:00 - 11.03.2021 02:00 (CET);5402;7112;101;176;8272
BZN|ES;11.03.2021 02:00 - 11.03.2021 03:00 (CET);6028;7114;101;137;8606
BZN|ES;11.03.2021 03:00 - 11.03.2021 04:00 (CET);6360;7114;102;126;9137
BZN|ES;11.03.2021 04:00 - 11.03.2021 05:00 (CET);6771;7114;100;119;8917
BZN|ES;11.03.2021 05:00 - 11.03.2021 06:00 (CET);6746;7113;99;69;9575
BZN|ES;11.03.2021 06:00 - 11.03.2021 07:00 (CET);6126;7111;98;68;9961
BZN|ES;11.03.2021 07:00 - 11.03.2021 08:00 (CET);6369;7113;103;148;10167
BZN|ES;11.03.2021 08:00 - 11.03.2021 09:00 (CET);6795;7111;107;1780;9618
BZN|ES;11.03.2021 09:00 - 11.03.2021 10:00 (CET);6550;7111;102;4756;9189
BZN|ES;11.03.2021 10:00 - 11.03.2021 11:00 (CET);5674;7112;105;6902;9463
BZN|ES;11.03.2021 11:00 - 11.03.2021 12:00 (CET);5781;7109;104;7982;9893
BZN|ES;11.03.2021 12:00 - 11.03.2021 13:00 (CET);5485;7108;108;8431;10054
BZN|ES;11.03.2021 13:00 - 11.03.2021 14:00 (CET);5714;7107;110;8552;9900
BZN|ES;11.03.2021 14:00 - 11.03.2021 15:00 (CET);5875;7106;111;8538;9791
BZN|ES;11.03.2021 15:00 - 11.03.2021 16:00 (CET);6611;7105;111;8232;9243
BZN|ES;11.03.2021 16:00 - 11.03.2021 17:00 (CET);6247;7103;112;7095;8742
BZN|ES;11.03.2021 17:00 - 11.03.2021 18:00 (CET);6186;7101;108;5112;8566
BZN|ES;11.03.2021 18:00 - 11.03.2021 19:00 (CET);6504;7102;109;2173;8151
BZN|ES;11.03.2021 19:00 - 11.03.2021 20:00 (CET);9271;7101;110;594;7770
BZN|ES;11.03.2021 20:00 - 11.03.2021 21:00 (CET);9632;7104;113;378;7683
BZN|ES;11.03.2021 21:00 - 11.03.2021 22:00 (CET);8907;7104;114;343;7533
