Time (CET);Demand;Imports;Exports;Price;Hydro;Nuclear;Other renewable;Solar;Wind
11.03.2021 10:00 - 11.03.2021 11:00;33565;424;703;45.6;5674;7112;105;6902;9463
11.03.2021 11:00 - 11.03.2021 12:00;33204;129;1061;42;5781;7109;104;7982;9893
11.03.2021 12:00 - 11.03.2021 13:00;32883;499;1091;41.22;5485;7108;108;8431;10054
11.03.2021 13:00 - 11.03.2021 14:00;32604;1049;1770;38.99;5714;7107;110;8552;9900
11.03.2021 14:00 - 11.03.2021 15:00;31570;1964;2515;36.64;5875;7106;111;8538;9791
11.03.2021 15:00 - 11.03.2021 16:00;30603;1643;2521;33.04;6611;7105;111;8232;9243
11.03.2021 16:00 - 11.03.2021 17:00;30094;1217;1990;34.09;6247;7103;112;7095;8742
11.03.2021 17:00 - 11.03.2021 18:00;29777;1579;1813;38.97;6186;7101;108;5112;8566
11.03.2021 18:00 - 11.03.2021 19:00;29806;1670;402;48.33;6504;7102;109;2173;8151
11.03.2021 19:00 - 11.03.2021 20:00;32245;1400;0;56.59;9271;7101;110;594;7770
11.03.2021 20:00 - 11.03.2021 21:00;34096;3331;99;55.01;9632;7104;113;378;7683
11.03.2021 21:00 - 11.03.2021 22:00;33119;3272;74;52.03;8907;7104;114;343;7533
11.03.2021 22:00 - 11.03.2021 23:00;30569;3207;463;49.57;6924;7104;107;247;7440
11.03.2021 23:00 - 12.03.2021 00:00;27667;2564;831;45.4;4872;7106;107;233;7823
12.03.2021 00:00 - 12.03.2021 01:00;25685;2836;1203;30.99;4977;7107;102;228;7866
12.03.2021 01:00 - 12.03.2021 02:00;24080;2642;2048;29.41;4253;7110;99;187;7646
12.03.2021 02:00 - 12.03.2021 03:00;23210;2732;2079;28.99;4715;7107;103;161;7279
12.03.2021 03:00 - 12.03.2021 04:00;22886;2964;1595;26;5028;7109;105;122;7043
12.03.2021 04:00 - 12.03.2021 05:00;22734;2774;1158;24.87;4774;7109;104;82;7161
12.03.2021 05:00 - 12.03.2021 06:00;23440;2505;927;28.99;4785;7110;102;82;6900
12.03.2021 06:00 - 12.03.2021 07:00;26041;1238;0;43.75;5017;7110;99;69;6632
12.03.2021 07:00 - 12.03.2021 08:00;29518;3073;0;52.39;7111;7107;101;108;6924
12.03.2021 08:00 - 12.03.2021 09:00;31885;3160;0;57.74;8143;7109;111;1280;7025
12.03.2021 09:00 - 12.03.2021 10:00;32889;2436;0;52.01;7161;7110;109;3669;6664
12.03.2021 10:00 - 12.03.2021 11:00;33138;2978;844;45;6194;7108;106;5908;6962
12.03.2021 11:00 - 12.03.2021 12:00;32869;2491;1506;36.57;5512;7106;106;7109;7336
12.03.2021 12:00 - 12.03.2021 13:00;32688;2672;1753;34.69;5237;7104;104;7788;7943
12.03.2021 13:00 - 12.03.2021 14:00;32641;2657;3116;30.43;5339;7105;103;8102;8573
