"MTU (CET),""Day-ahead Price [EUR/MWh]"",""BZN|ES"""
"15.03.2021 09:00 - 15.03.2021 10:00,""52.64"""
"15.03.2021 10:00 - 15.03.2021 11:00,""51.29"""
"15.03.2021 11:00 - 15.03.2021 12:00,""50.42"""
"15.03.2021 12:00 - 15.03.2021 13:00,""48.47"""
"15.03.2021 13:00 - 15.03.2021 14:00,""46.24"""
"15.03.2021 14:00 - 15.03.2021 15:00,""43.17"""
"15.03.2021 15:00 - 15.03.2021 16:00,""40.27"""
"15.03.2021 16:00 - 15.03.2021 17:00,""43.78"""
"15.03.2021 17:00 - 15.03.2021 18:00,""48.27"""
"15.03.2021 18:00 - 15.03.2021 19:00,""50.51"""
"15.03.2021 19:00 - 15.03.2021 20:00,""57.94"""
"15.03.2021 20:00 - 15.03.2021 21:00,""59.93"""
"15.03.2021 21:00 - 15.03.2021 22:00,""55.90"""
"15.03.2021 22:00 - 15.03.2021 23:00,""50.76"""
"15.03.2021 23:00 - 16.03.2021 00:00,""48.94"""
"16.03.2021 00:00 - 16.03.2021 01:00,""43.19"""
"16.03.2021 01:00 - 16.03.2021 02:00,""39.59"""
"16.03.2021 02:00 - 16.03.2021 03:00,""28.48"""
"16.03.2021 03:00 - 16.03.2021 04:00,""27.38"""
"16.03.2021 04:00 - 16.03.2021 05:00,""24.42"""
"16.03.2021 05:00 - 16.03.2021 06:00,""25.80"""
"16.03.2021 06:00 - 16.03.2021 07:00,""27.42"""
"16.03.2021 07:00 - 16.03.2021 08:00,""41.57"""
"16.03.2021 08:00 - 16.03.2021 09:00,""44.21"""
"16.03.2021 09:00 - 16.03.2021 10:00,""39.96"""
"16.03.2021 10:00 - 16.03.2021 11:00,""37.47"""
"16.03.2021 11:00 - 16.03.2021 12:00,""35.85"""
"16.03.2021 12:00 - 16.03.2021 13:00,""32.19"""
"16.03.2021 13:00 - 16.03.2021 14:00,""30.57"""
"16.03.2021 14:00 - 16.03.2021 15:00,""28.48"""
"16.03.2021 15:00 - 16.03.2021 16:00,""26.76"""
"16.03.2021 16:00 - 16.03.2021 17:00,""25.80"""
"16.03.2021 17:00 - 16.03.2021 18:00,""26.83"""
"16.03.2021 18:00 - 16.03.2021 19:00,""28.49"""
"16.03.2021 19:00 - 16.03.2021 20:00,""46.90"""
"16.03.2021 20:00 - 16.03.2021 21:00,""50.76"""
"16.03.2021 21:00 - 16.03.2021 22:00,""48.34"""
"16.03.2021 22:00 - 16.03.2021 23:00,""39.96"""
"16.03.2021 23:00 - 17.03.2021 00:00,""27.93"""
"17.03.2021 00:00 - 17.03.2021 01:00,""21.60"""
"17.03.2021 01:00 - 17.03.2021 02:00,""17.09"""
"17.03.2021 02:00 - 17.03.2021 03:00,""15.49"""
"17.03.2021 03:00 - 17.03.2021 04:00,""15.20"""
"17.03.2021 04:00 - 17.03.2021 05:00,""14.35"""
"17.03.2021 05:00 - 17.03.2021 06:00,""15.60"""
"17.03.2021 06:00 - 17.03.2021 07:00,""20.00"""
"17.03.2021 07:00 - 17.03.2021 08:00,""24.60"""
"17.03.2021 08:00 - 17.03.2021 09:00,""28.57"""
"17.03.2021 09:00 - 17.03.2021 10:00,""23.40"""
"17.03.2021 10:00 - 17.03.2021 11:00,""20.57"""
"17.03.2021 11:00 - 17.03.2021 12:00,""15.40"""
"17.03.2021 12:00 - 17.03.2021 13:00,""15.05"""
"17.03.2021 13:00 - 17.03.2021 14:00,""13.20"""
"17.03.2021 14:00 - 17.03.2021 15:00,""10.04"""
"17.03.2021 15:00 - 17.03.2021 16:00,""8.75"""
"17.03.2021 16:00 - 17.03.2021 17:00,""8.43"""
"17.03.2021 17:00 - 17.03.2021 18:00,""11.76"""
"17.03.2021 18:00 - 17.03.2021 19:00,""15.49"""
"17.03.2021 19:00 - 17.03.2021 20:00,""21.00"""
"17.03.2021 20:00 - 17.03.2021 21:00,""27.00"""
"17.03.2021 21:00 - 17.03.2021 22:00,""22.30"""
"17.03.2021 22:00 - 17.03.2021 23:00,""15.90"""
"17.03.2021 23:00 - 18.03.2021 00:00,""15.60"""
"18.03.2021 00:00 - 18.03.2021 01:00,""21.53"""
"18.03.2021 01:00 - 18.03.2021 02:00,""21.89"""
"18.03.2021 02:00 - 18.03.2021 03:00,""21.89"""
"18.03.2021 03:00 - 18.03.2021 04:00,""21.89"""
"18.03.2021 04:00 - 18.03.2021 05:00,""25.77"""
"18.03.2021 05:00 - 18.03.2021 06:00,""24.57"""
"18.03.2021 06:00 - 18.03.2021 07:00,""30.00"""
